vote,age,economic.cond.national,economic.cond.household,Blair,Hague,Europe,political.knowledge,gender
1,70,3,2,4,2,3,2,0
0,53,1,3,1,4,6,2,1
1,68,3,4,4,4,4,2,0
1,83,3,4,4,4,3,2,1
1,35,3,3,1,2,5,3,0
1,31,3,3,4,1,3,0,0
1,33,4,3,4,1,5,2,0
1,60,4,3,4,1,3,2,0
1,26,4,4,4,2,5,2,0
1,51,4,4,4,2,2,3,1
1,42,4,3,2,1,3,3,1
1,55,4,4,4,1,2,2,0
1,41,4,3,4,4,1,2,1
0,40,3,2,2,2,6,2,0
0,43,3,2,2,4,8,3,0
1,50,2,2,4,2,4,3,1
1,47,4,4,5,1,2,3,1
0,90,4,4,2,4,11,3,0
0,76,4,3,1,4,11,3,1
1,73,3,2,4,4,3,0,0
0,52,3,3,2,4,11,2,0
1,46,4,4,2,4,5,0,0
0,70,5,2,2,5,11,2,0
0,66,3,3,2,2,11,2,0
1,54,3,4,2,2,10,0,0
0,75,3,5,4,4,8,3,1
1,41,3,2,4,2,5,0,0
1,62,2,3,2,2,11,0,0
1,33,3,4,2,2,11,2,1
0,59,3,2,4,2,8,2,0
0,73,3,3,2,4,11,2,1
1,46,3,3,2,4,3,2,0
0,54,3,5,2,4,11,2,0
1,40,4,2,2,2,7,2,0
1,57,4,3,2,1,2,3,0
0,43,2,3,1,4,8,2,1
1,46,4,4,4,1,8,0,1
1,51,2,2,4,4,4,2,1
1,67,3,4,4,4,7,0,1
0,65,3,3,2,2,6,2,0
1,42,2,3,2,2,6,0,0
0,45,4,4,4,2,11,3,1
0,34,4,3,1,4,5,3,1
1,55,3,3,4,2,5,0,0
1,56,4,4,2,2,5,3,1
0,39,2,2,4,1,4,0,0
1,35,3,2,4,2,6,2,0
1,45,3,3,2,2,2,1,0
1,28,4,4,4,4,7,1,0
0,49,3,3,4,2,2,2,1
1,60,2,2,4,2,7,0,1
0,34,1,1,1,4,11,3,1
1,56,2,3,4,1,3,3,1
1,72,3,4,2,2,3,0,0
1,59,3,3,2,2,4,2,1
1,33,4,4,4,2,5,2,1
1,65,2,2,4,3,9,2,0
1,24,4,2,4,2,4,0,0
1,67,5,3,5,1,6,0,0
0,25,2,3,1,4,7,2,0
1,44,4,3,4,2,8,2,0
1,64,3,3,2,1,6,2,1
1,58,3,2,2,4,8,1,0
1,33,3,3,4,4,5,2,0
1,53,3,2,4,2,6,0,0
1,68,2,3,5,2,8,0,0
1,67,4,4,5,4,10,0,0
1,44,4,2,4,2,4,3,1
1,77,3,3,4,2,6,1,0
1,35,3,3,2,1,1,2,0
1,49,4,3,4,2,6,0,1
1,36,4,4,4,2,7,2,0
1,31,3,3,2,3,6,0,0
1,52,3,3,4,1,5,0,1
1,29,4,4,4,4,6,2,0
1,74,4,4,5,1,9,0,0
1,36,3,3,5,2,3,2,0
1,47,3,1,2,1,4,0,0
1,68,3,3,2,1,8,0,1
1,40,3,2,2,4,1,3,0
1,59,4,3,4,2,6,2,0
1,54,3,3,5,4,1,0,0
0,65,3,3,2,4,11,0,0
1,54,3,3,2,2,5,0,0
1,24,4,3,4,1,2,3,1
0,28,3,2,2,4,6,0,0
1,79,3,3,5,1,11,2,1
1,80,4,5,4,2,1,0,0
1,32,3,2,5,1,6,2,0
1,32,3,2,5,1,3,2,0
1,34,3,3,2,1,2,2,1
1,36,3,3,4,2,4,0,0
1,53,3,4,2,1,9,0,0
1,63,4,3,4,2,9,0,0
1,27,3,3,4,4,7,0,0
1,45,3,3,2,2,1,0,0
1,77,4,3,4,4,4,2,0
1,57,4,3,4,2,3,2,1
1,75,4,2,4,4,11,0,0
1,36,4,4,2,2,11,2,0
1,69,3,3,4,1,1,2,0
1,58,3,3,4,3,10,0,1
1,71,5,2,4,3,3,3,1
1,55,4,4,4,4,9,2,1
1,38,2,4,4,2,1,3,0
1,37,4,4,4,2,11,0,0
1,44,2,3,4,4,6,0,0
0,64,3,3,4,4,10,2,0
1,37,2,3,2,2,5,0,0
0,52,3,2,2,4,11,2,1
1,71,2,3,4,2,11,0,0
0,49,3,3,2,2,8,0,0
1,88,3,3,4,1,6,0,0
0,63,2,4,2,4,10,3,0
1,74,4,3,4,2,8,0,0
1,29,3,5,4,4,6,0,0
1,66,3,3,4,2,6,0,0
1,43,3,4,1,1,8,3,1
1,71,2,2,2,1,11,0,0
1,42,3,3,2,2,9,0,1
1,79,2,2,2,2,9,3,1
1,61,3,3,1,1,6,2,0
0,74,4,4,4,2,7,2,0
1,54,2,3,2,4,11,0,0
1,81,4,4,4,1,1,2,0
0,47,4,3,2,4,3,3,1
0,75,2,3,4,4,8,2,0
0,60,1,2,2,5,11,2,0
1,51,3,3,4,2,6,1,0
0,47,4,1,4,2,8,3,0
0,70,3,2,4,4,11,0,0
1,61,2,3,4,2,2,3,1
1,62,4,2,4,4,6,2,1
1,69,5,5,4,2,11,0,1
1,74,3,2,4,2,11,0,0
1,30,4,3,4,1,2,2,1
1,70,4,4,4,2,4,2,1
0,75,3,4,2,2,11,0,1
1,75,4,3,4,2,9,0,0
1,30,4,4,1,2,11,0,0
1,77,2,2,2,2,11,2,0
0,66,2,3,4,4,10,2,1
0,70,2,2,4,2,10,3,1
1,38,4,4,4,2,4,2,1
1,49,4,4,4,4,2,2,1
1,40,4,5,4,1,1,0,0
1,82,4,4,5,2,6,2,1
1,48,3,2,4,2,6,2,1
0,58,2,2,1,1,11,2,1
1,29,3,2,2,4,9,2,0
0,65,2,3,2,2,4,1,1
0,33,3,1,2,4,9,2,1
0,55,3,3,4,4,11,3,1
1,56,4,5,4,1,11,2,1
1,45,3,4,5,2,7,2,0
0,50,3,5,1,5,10,1,0
1,80,3,3,5,1,4,2,0
1,51,3,4,4,1,6,2,0
1,55,2,3,1,4,1,0,0
1,55,4,4,4,2,6,0,0
1,61,4,3,4,1,6,0,0
1,39,3,3,4,2,9,0,0
1,49,3,3,2,1,11,0,1
0,77,3,3,2,4,9,2,1
1,43,3,3,4,1,7,2,0
1,34,3,3,4,2,3,2,1
1,72,5,5,5,4,11,0,0
0,60,4,4,2,4,10,2,1
1,39,3,3,1,3,11,0,0
1,38,2,4,2,2,4,3,1
1,35,3,5,4,2,5,2,1
1,44,4,4,2,2,10,0,0
1,31,4,4,4,1,6,3,1
1,33,3,3,2,4,6,3,1
0,66,2,3,1,5,11,3,1
1,63,3,2,4,2,2,3,1
1,47,4,4,4,4,7,0,1
0,38,3,2,2,4,11,2,1
1,67,4,3,5,4,6,2,0
0,37,1,4,1,5,11,2,0
1,27,2,4,2,4,10,0,0
1,50,3,3,5,5,1,3,1
1,77,3,3,5,4,2,0,1
1,71,3,4,1,4,11,2,1
1,53,3,3,4,2,6,2,0
1,56,4,2,5,2,1,2,0
0,32,3,4,2,2,9,3,0
0,83,2,4,2,4,10,2,0
1,52,4,3,4,2,5,3,0
0,74,4,2,2,5,11,2,0
0,92,3,3,2,4,6,0,0
0,34,4,4,2,4,10,2,1
1,80,2,3,4,4,3,3,0
0,39,3,5,4,4,11,3,0
1,80,3,5,4,1,10,2,0
1,66,3,3,4,2,5,2,1
0,71,3,3,2,3,11,3,0
1,46,3,2,4,2,11,2,0
0,54,3,3,4,4,11,1,1
0,55,4,4,4,4,9,2,0
0,69,2,2,1,5,11,0,1
1,74,4,4,4,2,5,2,1
1,56,4,4,5,1,2,3,1
0,74,2,3,4,4,9,0,0
0,37,4,4,2,4,11,2,0
1,43,3,2,4,2,8,3,1
0,50,2,3,4,4,10,2,0
1,57,4,4,4,4,5,2,1
1,42,3,4,4,2,4,3,1
0,42,2,3,1,2,8,2,1
1,36,4,5,5,2,4,0,1
1,55,4,4,4,4,9,0,1
0,73,2,1,2,2,11,2,0
0,29,4,5,4,4,8,2,1
1,56,4,4,5,2,5,2,0
0,67,2,3,4,4,9,2,0
1,47,4,3,4,2,7,1,0
0,38,2,2,4,4,10,2,1
1,35,3,3,5,1,4,3,0
1,83,4,4,4,4,1,0,0
0,32,4,4,4,2,9,2,1
0,68,1,1,2,4,10,2,0
0,76,4,3,4,5,11,2,1
0,63,2,2,4,4,5,3,1
1,86,3,3,4,2,11,0,1
1,35,4,1,4,2,11,0,1
1,39,3,4,4,2,5,2,1
1,65,2,2,4,2,11,2,1
1,32,3,3,4,2,2,3,1
1,81,4,4,4,4,10,2,0
0,83,1,2,2,4,6,0,0
1,33,4,2,4,2,7,0,1
1,37,2,3,4,4,5,2,0
1,48,4,4,4,4,3,3,1
1,61,4,2,4,2,6,2,0
1,66,3,3,5,1,11,0,0
1,38,2,1,2,2,9,2,1
1,79,4,3,5,4,11,0,1
1,58,4,3,4,4,5,2,0
0,56,2,5,1,4,4,0,1
0,61,4,3,2,4,10,2,0
1,58,3,3,4,2,3,3,0
1,57,3,3,1,1,6,2,0
0,35,4,5,4,5,11,2,0
1,59,3,3,4,4,1,3,1
1,84,3,4,1,2,9,3,0
1,65,3,3,4,1,10,2,0
1,24,4,4,4,2,4,2,0
1,35,4,3,4,4,11,2,1
1,50,2,2,4,4,2,2,1
1,42,3,2,2,4,11,3,0
0,55,4,4,4,4,11,2,1
1,35,4,3,2,1,7,2,1
1,53,4,3,2,2,6,3,1
0,46,2,2,2,2,11,2,1
0,55,4,4,4,2,7,2,0
1,42,3,3,5,1,2,3,1
0,59,3,3,2,4,8,2,0
1,56,3,3,4,2,1,2,1
1,48,4,3,4,1,3,2,1
0,52,4,2,1,4,9,0,1
1,35,3,4,5,4,9,2,0
1,36,4,4,4,2,2,2,1
1,77,4,4,4,1,11,2,0
1,51,3,3,4,2,6,2,0
0,76,2,2,2,4,11,2,1
0,39,3,4,2,4,11,2,0
1,38,3,2,4,2,11,1,1
1,65,4,3,4,4,1,3,0
0,48,3,3,2,4,11,2,0
1,31,3,4,4,2,8,3,1
1,49,1,1,2,2,6,0,1
0,37,4,1,1,4,8,2,1
0,60,4,4,4,2,6,2,1
1,58,4,4,5,1,5,3,1
1,65,4,2,4,1,6,2,1
1,51,3,3,4,4,11,0,0
1,78,1,1,4,4,1,0,0
0,58,2,4,4,4,3,0,1
1,61,4,2,4,2,7,2,1
1,88,4,4,5,1,10,0,0
1,33,4,3,4,1,3,2,1
0,66,1,1,2,4,9,2,1
1,40,4,4,4,4,1,0,1
1,49,2,3,4,4,3,2,0
1,48,1,1,4,4,11,2,1
1,41,3,4,4,4,11,0,0
1,42,4,3,4,4,11,2,1
1,72,3,4,4,2,8,2,0
1,76,4,4,4,1,11,0,0
1,37,4,4,5,4,11,3,0
1,70,5,4,4,2,6,3,0
1,63,3,4,5,1,1,3,1
1,27,3,3,4,2,11,0,0
1,57,3,3,4,3,5,3,1
1,66,4,4,4,2,11,0,1
0,57,3,2,2,4,3,0,1
1,72,5,4,4,2,2,2,0
1,69,3,4,2,2,6,0,1
1,46,3,4,4,1,6,2,0
1,75,2,1,1,2,10,2,0
0,73,3,1,4,4,11,2,0
1,82,3,4,5,4,11,2,1
1,28,4,3,4,4,2,2,1
0,66,4,3,4,2,5,0,1
0,67,3,2,2,4,11,2,1
0,51,3,3,2,4,10,3,1
0,43,3,3,4,2,7,2,1
1,30,3,4,4,2,8,0,1
0,47,2,3,4,4,4,2,0
0,27,3,3,2,4,8,2,1
1,32,3,4,4,2,3,3,0
0,61,3,3,2,4,11,2,0
0,52,4,4,2,4,9,2,1
1,34,4,4,4,2,1,2,1
1,71,5,3,5,2,2,2,0
0,54,3,3,1,4,11,2,0
1,28,3,3,2,2,3,3,1
0,70,4,3,4,2,3,3,1
1,43,2,3,4,2,2,3,1
1,70,2,3,4,1,6,2,1
0,63,2,2,4,4,10,2,0
1,62,2,3,2,4,3,0,0
1,62,4,3,4,1,3,3,1
0,47,2,2,2,4,9,2,1
1,57,2,3,4,1,3,3,1
0,26,3,5,4,4,6,0,0
1,41,4,3,4,2,5,3,1
1,72,4,4,2,1,6,0,0
1,53,1,1,1,4,7,2,0
1,68,3,3,4,4,7,2,0
1,79,3,3,5,3,6,0,0
1,26,3,3,4,2,8,2,1
1,54,2,2,1,2,11,2,1
0,60,3,4,2,4,11,0,1
1,74,3,4,4,2,1,2,1
1,30,2,4,4,2,3,2,1
1,41,4,5,4,2,7,2,1
0,68,3,3,1,4,5,2,0
0,33,3,5,4,4,7,2,0
1,71,3,3,2,2,8,2,0
0,69,3,4,2,4,9,2,1
0,72,4,3,4,4,6,2,0
1,40,3,4,4,2,7,3,1
0,29,1,2,1,4,11,2,0
0,63,2,2,1,5,11,2,1
0,53,1,2,1,2,10,2,0
0,46,3,3,2,4,7,2,0
1,39,3,4,4,1,8,0,1
0,80,2,2,2,4,7,2,1
0,40,4,4,2,2,7,3,1
0,44,4,3,4,3,4,2,1
1,58,3,3,5,4,11,0,1
0,35,4,4,4,4,8,2,1
0,39,2,3,4,2,11,3,1
1,53,3,3,2,4,11,2,1
1,40,3,4,2,2,8,0,0
1,51,4,3,4,1,2,2,1
0,51,3,2,2,2,3,2,0
0,50,3,4,2,2,7,2,0
0,68,3,3,2,4,5,2,0
1,32,4,4,4,4,2,2,0
1,66,4,4,4,2,3,2,0
0,62,3,2,2,4,11,2,0
1,79,3,2,4,4,5,2,0
1,70,4,3,2,4,10,2,0
1,75,3,4,4,4,8,0,1
1,78,4,4,2,2,6,2,0
0,78,2,3,4,5,11,1,1
1,71,3,3,4,2,11,0,0
1,73,4,5,4,1,3,2,1
1,52,4,2,4,2,4,3,1
1,66,4,3,5,1,4,3,1
0,38,2,3,4,4,11,2,1
1,44,5,3,4,2,8,0,1
1,83,3,4,4,2,4,2,0
1,34,3,3,4,1,1,3,1
0,75,1,5,2,4,11,2,1
0,66,3,3,2,4,5,0,1
1,74,3,4,2,2,6,2,0
1,46,4,4,4,1,11,2,0
1,76,4,2,2,2,3,3,1
0,53,2,1,2,5,4,2,0
1,46,2,2,2,4,8,0,0
0,43,4,3,4,2,11,3,1
1,29,4,3,4,2,4,2,0
1,53,4,4,4,1,10,2,0
0,31,2,2,2,4,6,2,0
0,54,4,3,2,4,11,2,1
0,54,3,4,2,4,9,2,0
0,38,2,5,2,4,10,2,1
1,54,5,3,5,2,6,2,0
1,41,3,2,4,2,8,0,0
1,77,5,2,4,2,4,2,1
0,39,2,4,1,2,11,3,1
0,53,3,3,2,2,5,2,0
1,42,4,4,4,2,11,0,1
1,46,3,4,4,1,2,0,1
1,37,4,2,4,2,8,1,1
1,41,4,3,4,4,8,2,1
1,40,3,3,2,4,6,2,0
1,84,5,4,5,1,1,2,1
1,43,3,3,4,1,4,3,1
1,81,4,3,1,2,11,2,0
1,41,3,4,4,4,4,2,0
1,46,4,2,2,2,5,2,0
0,64,3,3,1,2,3,2,1
1,67,4,4,4,4,10,3,0
0,71,1,4,2,4,8,0,1
0,89,2,2,1,4,1,0,1
0,76,3,4,4,4,10,3,0
0,50,4,3,2,4,9,2,1
0,53,3,2,2,4,11,2,0
0,74,4,3,2,4,8,2,0
1,76,4,3,4,4,8,0,1
1,84,4,3,4,2,1,3,1
1,68,5,4,5,4,11,0,0
1,46,3,3,2,4,6,0,0
0,39,3,3,1,4,11,2,0
0,64,2,3,2,4,10,2,0
1,43,4,2,5,1,6,0,0
0,59,4,3,3,5,9,3,1
1,58,4,3,5,2,3,2,1
1,70,4,2,2,1,11,2,0
0,35,3,4,2,4,11,2,0
1,36,5,5,4,2,1,3,1
0,77,3,3,4,4,9,3,1
1,52,4,4,4,2,4,2,1
1,65,3,1,4,2,11,2,1
0,60,3,2,2,4,11,2,0
0,48,3,3,2,5,10,2,0
1,38,4,3,5,5,3,2,1
0,70,3,3,2,4,7,2,0
0,50,3,2,2,2,3,2,1
1,47,4,4,2,2,5,3,0
0,62,3,3,4,3,11,2,0
1,64,5,3,4,2,1,3,1
0,62,3,3,2,4,4,0,1
1,57,3,4,4,2,6,0,0
1,65,3,3,4,2,11,0,0
0,55,4,4,4,2,8,2,1
0,64,4,1,4,4,9,0,0
0,32,2,3,2,4,11,2,0
0,72,3,3,1,2,11,2,0
1,65,3,3,4,2,5,2,1
1,84,4,2,4,1,4,3,0
0,49,3,4,2,4,11,2,1
1,55,3,3,4,2,11,2,0
1,48,4,3,4,4,10,2,1
0,30,2,3,4,4,7,3,1
0,40,3,4,2,2,9,2,0
0,35,2,2,1,4,11,2,1
1,51,4,4,2,2,5,3,1
0,75,5,3,2,4,11,2,1
1,54,4,4,2,2,3,2,1
1,32,4,5,2,4,7,2,0
0,64,3,3,4,4,6,0,1
1,54,3,3,4,4,6,3,0
1,76,3,3,4,2,11,2,1
1,47,3,2,2,2,6,2,0
0,33,2,4,2,2,11,3,0
0,88,4,2,4,4,2,0,0
0,66,3,3,2,5,11,2,1
0,37,2,3,2,4,10,2,0
1,81,1,3,4,2,11,1,0
1,64,4,4,4,4,5,2,0
1,37,4,3,4,2,4,2,0
1,48,2,2,2,4,9,2,0
0,42,2,2,2,4,11,3,1
1,53,3,1,2,4,6,3,0
0,57,2,3,2,2,4,0,0
1,39,2,2,4,1,10,2,1
0,56,3,3,2,4,3,2,0
1,41,4,4,4,2,5,2,1
0,45,4,3,4,4,10,2,0
0,85,4,3,2,4,11,2,0
1,57,3,3,4,2,4,2,0
1,37,4,4,4,4,3,2,1
1,53,4,2,1,4,11,2,0
1,35,3,4,4,4,10,0,0
1,41,4,4,4,1,4,0,0
0,37,2,4,2,5,9,2,0
1,32,4,3,2,2,6,2,0
0,30,3,1,2,4,11,2,1
0,61,4,3,4,4,7,2,0
1,36,4,4,4,4,1,0,0
1,59,5,3,2,4,11,0,0
0,72,5,1,4,1,11,2,1
0,55,3,4,4,5,8,3,0
1,48,3,2,2,3,11,0,0
1,57,4,4,4,2,11,0,0
0,68,3,3,4,3,11,2,0
0,78,2,3,1,4,11,3,1
0,68,2,4,4,2,6,0,0
0,67,3,3,5,5,7,2,1
0,35,3,2,4,4,7,2,0
1,36,4,3,2,2,8,2,0
1,30,4,2,4,2,11,2,0
1,37,4,3,4,4,10,2,1
0,43,3,2,2,4,9,2,1
1,80,5,3,2,5,9,0,1
0,35,2,4,2,2,7,2,0
0,36,2,2,4,2,11,3,0
0,81,4,5,2,4,11,2,0
1,40,4,4,4,2,3,2,0
1,69,4,2,2,4,10,0,0
1,47,2,2,4,2,10,2,0
1,31,3,2,4,4,4,2,1
1,79,5,4,4,2,6,2,1
1,43,4,1,2,4,6,2,1
0,72,3,3,2,4,11,2,0
0,36,2,3,2,4,10,2,1
1,47,3,3,4,2,11,0,1
0,66,4,5,2,5,11,2,1
0,36,3,4,4,4,6,2,1
0,46,3,3,2,2,11,2,1
0,47,2,2,1,5,11,3,0
0,75,3,4,4,4,11,2,0
0,74,4,3,4,4,10,2,0
0,54,2,4,2,2,11,2,0
0,79,3,3,4,4,11,2,0
1,75,3,4,5,2,3,0,0
0,71,3,3,2,4,5,2,0
0,50,2,4,2,5,11,2,0
1,56,3,3,2,3,6,3,0
0,52,4,3,2,4,7,2,0
1,33,4,4,4,2,6,2,1
1,72,5,3,4,1,11,2,0
1,47,4,3,4,4,5,2,0
1,35,4,4,2,1,11,0,1
1,68,3,5,4,4,11,2,1
1,78,5,4,4,2,1,2,0
1,47,4,3,2,4,2,0,0
1,52,3,3,2,1,1,2,1
1,72,4,4,5,4,2,2,1
1,47,3,3,4,2,4,0,0
1,50,4,3,2,2,10,0,1
1,59,3,4,4,2,2,3,1
0,37,4,4,2,2,8,2,1
1,72,4,4,4,2,3,2,1
1,35,3,4,4,4,3,3,1
0,48,2,2,4,2,8,0,1
1,64,5,4,4,4,11,0,1
1,57,4,5,4,1,3,2,0
1,42,4,3,4,2,3,2,1
1,39,5,3,4,2,5,3,1
0,75,2,2,4,4,6,0,0
1,43,3,4,4,4,6,2,1
1,43,4,4,4,2,1,1,1
1,37,3,2,4,4,5,2,0
1,67,4,3,5,2,2,2,1
1,59,4,1,4,1,11,1,0
1,52,3,3,4,1,6,2,0
1,45,5,4,4,2,9,0,1
0,55,3,2,2,4,10,3,1
1,70,2,2,2,5,11,0,1
0,64,3,3,2,4,11,2,1
1,35,4,4,4,2,6,2,0
1,38,3,3,4,1,7,3,1
1,31,3,2,2,2,7,2,0
1,38,3,3,4,1,5,3,1
1,43,2,2,4,2,9,0,0
1,46,4,5,1,1,6,0,0
1,42,4,4,2,2,6,2,0
1,44,5,1,5,1,4,3,0
1,40,5,3,4,2,4,2,0
1,37,4,4,4,1,1,2,0
1,47,4,3,4,3,5,3,1
1,44,5,3,4,1,3,3,0
1,29,4,3,4,2,4,2,1
1,37,4,4,4,2,2,3,1
1,46,3,3,4,2,8,2,1
1,62,3,3,4,1,6,3,1
1,46,5,4,5,2,9,0,1
1,79,4,5,5,3,7,1,0
1,38,4,4,4,2,2,3,1
0,29,3,3,2,2,7,0,0
1,56,3,2,2,2,4,0,0
1,45,2,2,4,2,6,2,1
1,53,4,3,4,4,5,0,1
0,70,2,2,4,2,10,2,0
0,44,3,2,2,4,11,2,1
1,51,4,4,4,2,11,2,0
0,69,1,1,4,2,11,0,0
0,43,2,2,2,4,6,0,1
0,56,4,3,4,4,3,0,0
1,45,4,4,4,2,5,3,1
1,45,5,3,4,4,3,1,0
0,49,2,2,4,4,10,2,1
0,32,2,3,2,5,1,0,0
0,58,2,3,2,2,7,2,0
1,49,4,4,4,2,8,0,0
1,75,3,4,4,3,1,2,1
0,36,2,2,2,2,9,3,1
1,61,3,3,4,4,8,2,0
0,76,3,3,4,4,10,2,1
1,36,3,4,4,4,9,0,1
1,37,3,3,2,1,9,0,0
0,77,2,2,1,4,8,3,0
1,25,4,4,4,2,6,2,1
0,49,3,5,4,4,8,2,0
1,59,2,2,2,2,11,0,0
0,31,2,2,2,4,5,2,1
0,35,2,2,2,4,11,3,1
1,36,3,2,4,2,9,0,1
1,30,2,1,4,4,2,3,0
1,61,4,3,5,2,9,0,1
0,52,2,3,2,5,11,2,0
0,56,4,3,2,4,10,2,0
1,53,4,4,4,4,8,2,0
